uniqueid,osmid_u,osmid_v,length,lanes,speed_mph,u,v,lane_mile,taz_u,taz_v,taz
158115,65304911,65304976,103.426,1,20,89762,89766,0.06426609666074291,91.0,91.0,91.0
158116,65304911,65304976,273.52,1,20,89762,89766,0.16995787092845513,91.0,91.0,91.0
158117,65304942,4954703703,9.961,2,20,89763,219948,0.012378987659537452,91.0,91.0,91.0
158118,65304942,4954703704,78.86500000000002,2,35,89763,219949,0.09800912175177405,91.0,91.0,91.0
158119,65304944,1211594135,147.673,2,35,89764,187655,0.18351995227857384,91.0,91.0,91.0
158120,65304952,65304911,69.54599999999999,1,20,89765,89762,0.04321398834304746,91.0,91.0,91.0
158121,65304976,4954703703,23.68,1,20,89766,219948,0.014714106403867425,91.0,91.0,91.0
158122,65304976,65304911,273.52,1,20,89766,89762,0.16995787092845513,91.0,91.0,91.0
158123,65304976,65304911,103.426,1,20,89766,89762,0.06426609666074291,91.0,91.0,91.0
158124,65304983,4062775050,123.463,1,20,89767,211919,0.07671654218499509,187.0,187.0,187.0
158125,65304983,65362333,78.80199999999998,1,25,89767,94283,0.04896541439347806,187.0,187.0,187.0
158126,65304983,65333095,79.208,1,25,89767,92415,0.049217691724557894,187.0,187.0,187.0
158127,65304987,65304991,135.759,1,20,89768,89769,0.0843569413548411,83.0,83.0,83.0
158128,65304991,65304987,135.759,1,20,89769,89768,0.0843569413548411,83.0,83.0,83.0
158129,65304991,65317431,59.68,1,25,89769,91106,0.03708352492326047,83.0,83.0,83.0
158130,65304991,65304994,85.421,1,20,89769,89770,0.05307828053736315,83.0,93.0,Boundary
158131,65304991,65340785,72.655,1,20,89769,92925,0.04514583618129171,83.0,93.0,Boundary
158132,65304991,65312115,93.008,1,25,89769,90586,0.05779263549032523,83.0,94.0,Boundary
158133,65304994,260494519,8.991,1,20,89770,161385,0.005586762275218413,93.0,93.0,93.0
158134,65304994,65304991,85.421,1,20,89770,89769,0.05307828053736315,93.0,83.0,Boundary
158135,65304994,65340791,65.24600000000001,2,30,89770,92926,0.0810841711509066,93.0,93.0,93.0
158136,65304997,65304999,91.514,1,20,89771,89772,0.05686430462177042,93.0,93.0,93.0
158137,65304997,260494519,84.979,1,20,89771,161385,0.05280363378776393,93.0,93.0,93.0
158138,65304997,65324869,59.433,1,20,89771,91788,0.03693004585730797,93.0,93.0,93.0
158139,65304997,65312121,93.209,1,20,89771,90588,0.05791753141039184,93.0,94.0,Boundary
158140,65304999,65293661,87.148,1,20,89772,88541,0.05415139125355736,93.0,93.0,93.0
158141,65304999,65304997,91.514,1,20,89772,89771,0.05686430462177042,93.0,93.0,93.0
158142,65304999,65312511,197.922,1,20,89772,90647,0.12298333478320306,93.0,93.0,93.0
158143,65305002,65325864,69.814,1,20,89773,91891,0.04338051623646961,93.0,93.0,93.0
158144,65305002,65305004,66.149,1,20,89773,89774,0.04110318515664807,93.0,93.0,93.0
158145,65305002,65293661,62.95,1,20,89773,88541,0.03911541377210534,93.0,93.0,93.0
158146,65305004,65305002,66.149,1,20,89774,89773,0.04110318515664807,93.0,93.0,93.0
158147,65305004,65293669,215.282,1,20,89774,88542,0.13377036549144372,93.0,93.0,93.0
158148,65305004,65312123,142.861,1,20,89774,90589,0.08876993053052804,93.0,94.0,Boundary
158149,65305019,65305022,88.486,1,20,89775,89776,0.054982787975194805,95.0,95.0,95.0
158150,65305019,65353359,93.229,1,20,89775,93796,0.057929958865124836,95.0,95.0,95.0
158151,65305019,65312126,101.261,1,20,89775,90590,0.06292082468589608,95.0,95.0,95.0
158152,65305019,65302109,132.22299999999998,1,20,89775,89440,0.08215976735804739,95.0,93.0,Boundary
158153,65305022,65303933,189.323,1,20,89776,89665,0.11764015062075138,95.0,95.0,95.0
158154,65305022,65305025,89.824,1,20,89776,89777,0.05581418469683224,95.0,95.0,95.0
158155,65305022,65305019,88.486,1,20,89776,89775,0.054982787975194805,95.0,95.0,95.0
158156,65305025,65312130,100.122,1,20,89777,90591,0.062213081138851954,95.0,95.0,95.0
158157,65305025,65303936,189.172,1,20,89777,89666,0.11754632333751724,95.0,95.0,95.0
158158,65305025,65305027,88.954,1,20,89777,89778,0.055273590415946906,95.0,95.0,95.0
158159,65305025,65305022,89.824,1,20,89777,89776,0.05581418469683224,95.0,95.0,95.0
158160,65305027,65305025,88.954,1,20,89778,89777,0.055273590415946906,95.0,95.0,95.0
158161,65305027,65303940,189.013,1,20,89778,89667,0.11744752507238994,95.0,95.0,95.0
158162,65305027,65304078,193.158,1,20,89778,89695,0.12002311506580338,95.0,95.0,95.0
158163,65305027,65305030,88.999,1,20,89778,89779,0.05530155218909615,95.0,95.0,95.0
158164,65305030,65305027,88.999,1,20,89779,89778,0.05530155218909615,95.0,95.0,95.0
158165,65305030,1000699966,193.225,1,20,89779,184191,0.12006474703915891,95.0,95.0,95.0
158166,65305030,65305032,90.281,1,20,89779,89780,0.05609815203748121,95.0,96.0,Boundary
158167,65305030,65322357,93.12,1,20,89779,91571,0.05786222923683001,95.0,95.0,95.0
158168,65305032,65304084,192.822,1,20,89780,89696,0.11981433382628905,96.0,96.0,96.0
158169,65305032,65288879,88.33,1,20,89780,88034,0.05488585382827743,96.0,96.0,96.0
158170,65305032,65305030,90.281,1,20,89780,89779,0.05609815203748121,96.0,95.0,Boundary
158171,65305034,65304088,193.493,1,25,89781,89697,0.12023127493258107,96.0,96.0,96.0
158172,65305034,65305036,90.861,1,20,89781,89782,0.056458548224738093,96.0,129.0,Boundary
