x_x,y_x,x_y,y_y,time_departure
-122.3997849,37.7922611,-122.2496487,37.5334364,34017.6
-122.4100772,37.7880844,-122.4959747,37.7627407,34019.2
-122.4038718,37.7898332,-122.5052774,37.7355655,34020
-122.4166194,37.7786767,-122.4077053,37.7792988,34020
-122.4122382,37.7820804,-122.3956943,37.7938262,34020.1
-122.4102667,37.7890203,-122.4834735,37.7464546,34021.5
-122.41736,37.7823844,-122.4268094,37.7565629,34021.6
-122.4007726,37.7911821,-122.428806,37.6334312,34022.9
-122.3989918,37.7942922,-122.3978415,37.7846577,34023.9
-122.4068519,37.7856295,-122.4944418,37.901889,34026.1
-122.4103557,37.7822065,-122.3989063,37.7822304,34026.9
-122.4027912,37.7928594,-122.390321,37.7881515,34028.2
-122.416362,37.7775451,-122.4072899,37.733168,34028.3
-122.4059164,37.7857139,-122.3911772,37.7847532,34031.5
-122.4020077,37.788802,-122.4733124,37.7394183,34031.9
-122.4025983,37.791909,-122.4024346,37.7993854,34033
-122.4005888,37.7902502,-122.4037583,37.7699911,34033
-122.4011522,37.7930673,-122.468855,37.7846249,34033.6
-122.4102667,37.7890203,-122.3943162,37.780094,34034.3
-122.4084166,37.7882951,-122.413773,37.7605704,34036.7
-122.4148257,37.7787765,-122.4354413,37.7275815,34042.3
-122.4136932,37.7809332,-122.419245,37.7917216,34043.2
-122.4007726,37.7911821,-122.4210673,37.7923918,34043.4
-122.4100772,37.7880844,-122.443086,37.7193698,34043.5
-122.3997849,37.7922611,-122.4026204,37.8003142,34043.9
-122.4088057,37.7901622,-122.4067939,37.7885009,34046.1
-122.4080709,37.7840127,-122.3989063,37.7822304,34050.9
-122.4098893,37.7871562,-122.4119262,37.7972708,34051.3
-122.3982976,37.791734,-122.459275,37.7866308,34051.6
-122.4082332,37.7873668,-122.4902473,37.7817784,34056.4
-122.3975688,37.792548,-122.4020077,37.788802,34059.9
-122.4131495,37.7810015,-122.4154813,37.7669359,34060
-122.3995716,37.7907272,-122.4309205,37.778745,34062.8
-122.4106265,37.7824273,-122.3905436,37.7806182,34064.1
-122.3966495,37.7945887,-122.471035,37.6925597,34066.6
-122.4025983,37.791909,-122.4402181,37.7871213,34070.1
-122.4080561,37.7864339,-122.3977885,37.7991793,34070.3
-122.4064263,37.7903715,-122.410688,37.7720599,34070.8
-122.406589,37.7875664,-122.4324456,37.7235569,34074
-122.4160889,37.7777726,-122.4114049,37.7472975,34074.1
-122.4148257,37.7787765,-122.4306733,37.7620781,34074.6
-122.4036842,37.788901,-122.4236097,37.7882794,34075
-122.4034364,37.7876758,-122.4594774,37.7893078,34076.5
-122.4007726,37.7911821,-122.3084325,37.9022704,34078.9
-122.4131792,37.786738,-122.4021095,37.7739344,34079.8
-122.4080709,37.7840127,-122.458608,37.777287,34080.2
-122.4025983,37.791909,-122.3974037,37.7924404,34080.6
-122.3995716,37.7907272,-122.4426794,37.752579,34080.8
-122.4188105,37.7812425,-122.4079405,37.7593101,34082.8
-122.4122382,37.7820804,-122.4481262,37.7756008,34083.8
-122.4029838,37.7880314,-122.1102695,37.672544,34083.9
-122.411723,37.7878756,-122.422258,37.768754,34086.5
-122.4059164,37.7857139,-121.9802681,37.5428989,34088
-122.4160916,37.7844547,-122.3933768,37.7601994,34088.8
